Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
MFR,1912.0,Stockholm (SWE),Nürnberg,49460.0,11061.0,Silber,Ringen,Federgewicht
MFR,1928.0,Amsterdam (NL),Nürnberg,49460.0,11061.0,Gold,Ringen,Bantamgewicht
MFR,1928.0,Amsterdam (NL),Nürnberg,49460.0,11061.0,Gold,Wasserball,
MFR,1936.0,Berlin (D),Fürth,49452.0,10974.0,Silber,Ringen,Mittelgewicht
MFR,1936.0,Berlin (D),Nürnberg,49460.0,11061.0,Gold,Turnen,Mannschaft
MFR,1936.0,Berlin (D),Fürth,49452.0,10974.0,Gold,Turnen,"Pferdsprung, Mehrkampf, Mannschaft, Reck, Barren"
MFR,1936.0,Berlin (D),Schwabach,49328.0,11035.0,Gold,Turnen,"Mannschaft, Pferdesprung, Ringeturnen"
MFR,1936.0,Berlin (D),Schwabach,49328.0,11035.0,Silber,Wasserball,
MFR,1952.0,Helsinki (FIN),Fürth,49452.0,10974.0,Silber,Turnen,Reck
MFR,1952.0,Helsinki (FIN),"Berlin, in Nürnberg aufgewachsen",49460.0,11061.0,Bronze,Leichtathletik,4x400m Staffel (Schlussläufer)
MFR,1956.0,Melbourne (AUS),"Berlin, in Nürnberg aufgewachsen",49460.0,11061.0,Silber,Leichtathletik,400m
MFR,1960.0,Rom (IT),Langenzenn,49493.0,10794.0,Silber,Leichtathletik,4x100m Staffel
MFR,1964.0,Tokio (JP),Nürnberg,49460.0,11061.0,Bronze,Rad (Bahn),Tandem
MFR,1968.0,Mexiko City (MEX),Nürnberg,49460.0,11061.0,Bronze,Boxen,Halbmittelgewicht
MFR,1968.0,Mexiko City (MEX),Lauf a. d Pegnitz,49511.0,11278.0,Bronze,Leichtathletik,4x400m Staffel
MFR,1968.0,Mexiko City (MEX),Nürnberg,49460.0,11061.0,Silber,Sportschießen,Freie Pistole
MFR,1972.0,München (BRD),Altdorf,49385.0,11356.0,Gold,Leichtathletik,Speerwurf
MFR,1984,"Stoke Mandeville (GB), Hempstead/New York (USA)",Nürnberg,49460.0,11061.0,Gold,Tischtennis,"Klasse 3, Singles 2-4"
MFR,1984.0,Los Angeles (USA),Röthenbach bei Sankt Wolfgang,49360.0,11159.0,Bronze,Leichtathletik,Zehnkampf
MFR,1988,Seoul (SKO),Nürnberg,49460.0,11061.0,Gold,Tischtennis,"Klasse 3, Offene Klasse 2-4"
MFR,1992,Barcelona (E) ,Nürnberg,49460.0,11061.0,Gold,Tischtennis,"Offene Klasse 1-5, Klasse 4, Team 5"
MFR,1996.0,Atlanta (USA),Erlangen,49583.0,11016.0,Bronze,Schwimmen,4x100m Freistil Staffel
MFR,1996,Atlanta (USA),Nürnberg,49460.0,11061.0,Silber,Tischtennis,"Klasse 4, Offene Klasse 1-5, Team 3-5"
MFR,1996.0,Atlanta (USA),Erlangen,49583.0,11016.0,Bronze,Schwimmen,4x100m Freistil Staffel
